,iata,iso,name,continent,type,lat,lon,size,status
0,UTK,MH,Utirik Airport,OC,airport,11.233333,169.86667,small,1
1,FIV,US,Five Finger CG Heliport,NA,heliport,,,,1
2,FAK,US,False Island Seaplane Base,NA,seaplanes,,,,1
3,BWS,US,Blaine Municipal Airport,NA,closed,,,,0
4,WKK,US,Aleknagik / New Airport,NA,airport,59.27778,-158.61111,medium,1
5,TSS,US,East 34th Street Heliport,NA,heliport,,,,1
6,FOB,US,Fort Bragg Airport,NA,airport,39.474445,-123.79444,small,1
7,ABP,PG,Atkamba Airport,OC,airport,-6.066667,141.1,small,1
8,ALV,AD,Andorra la Vella Heliport,EU,heliport,,,,1
9,ADC,PG,Andakombe Airport,OC,airport,-7.133333,145.73334,small,1
10,TJP,PR,Areopuerto Internacional Michael Gonzalez,NA,airport,18.010702,-66.563545,large,1
11,AEE,SS,Adareil Airport,AF,airport,,,small,1
12,AEI,ES,Algeciras Heliport,EU,heliport,,,,1
13,AEK,PG,Aseki Airport,OC,airport,-7.366667,146.28334,small,1
14,OLR,AF,Salerno Landing Zone Airport,AS,airport,34.023167,36.130333,small,1
15,AFR,PG,Afore Airstrip,OC,airport,-9.133333,148.38333,small,1
16,AFT,SB,Afutara Aerodrome,OC,airport,-9.2,160.85,small,1
17,ATD,SB,Uru Harbour Airport,OC,airport,-8.866667,161.03334,small,1
18,VEV,SB,Barakoma Airport,OC,airport,-7.85,159.55,small,1
19,GEF,SB,Geva Airport,OC,airport,-7.578333,156.59778,small,1
20,AGG,PG,Angoram Airport,OC,airport,-4.168611,144.07388,small,1
21,AKS,SB,Auki Airport,OC,airport,-8.697778,160.68083,small,1
22,BAS,SB,Ballalae Airport,OC,airport,-6.983333,155.88333,small,1
23,FRE,SB,Fera/Maringe Airport,OC,airport,-8.1,159.58333,small,1
24,HIR,SB,Honiara International Airport,OC,airport,-9.428592,160.04819,medium,1
25,MBU,SB,Babanakira Airport,OC,airport,-9.733333,160.75,small,1
26,IRA,SB,Ngorangora Airport,OC,airport,-10.5,161.83333,small,1
27,SCZ,SB,Santa Cruz/Graciosa Bay/Luova Airport,OC,airport,-11.616667,166.85,small,1
28,MUA,SB,Munda Airport,OC,airport,-8.32794,157.26971,medium,1
29,GZO,SB,Nusatupe Airport,OC,airport,-8.116667,156.83333,small,1
30,MNY,SB,Mono Airport,OC,airport,-7.417428,155.56462,small,1
31,PRS,SB,Parasi Airport,OC,airport,-8.166667,158.0,small,1
32,OTV,SB,Ontong Java Atoll Airstrip,OC,closed,,,,0
33,RNL,SB,Rennell/Tingoa Airport,OC,airport,-11.666667,160.3,small,1
34,EGM,SB,Sege Airport,OC,airport,-8.577956,157.87506,small,1
35,RUS,SB,Marau Airport,OC,airport,-8.5,161.25,small,1
36,VAO,SB,Suavanao Airport,OC,airport,-7.566667,158.66667,small,1
37,AGK,PG,Kagua Airport,OC,airport,-6.403333,143.84666,small,1
38,KGE,SB,Kagau Island Airport,OC,airport,-8.165,157.5861,small,1
39,AGL,PG,Wanigela Airport,OC,airport,-9.340278,149.15527,small,1
40,RIN,SB,Ringi Cove Airport,OC,airport,-8.2,157.03334,small,1
41,RBV,SB,Ramata Airport,OC,airport,-8.165556,157.63945,small,1
